,id,date,city,pop,shop,brand,container,capacity,price,quantity,Comp
38,38,31/01/12,Manipur,346502,Dealer_4,Club soda,plastic,600ml,20,12674,2.99
40,40,31/01/12,Manipur,346502,Dealer_4,Litchi,plastic,250ml,15,23346,0.96
41,41,31/01/12,Manipur,346502,Dealer_4,Apple,plastic,250ml,20,12835,2.15
42,42,31/01/12,Manipur,346502,Dealer_4,Litchi,can,200ml,10,40722,0.41
43,43,31/01/12,Manipur,346502,Dealer_4,Mango,plastic,250ml,15,48918,0.28
46,46,31/01/12,Assam,672130,Dealer_3,Zeera cola,plastic,200ml,12,5630,3.21
47,47,31/01/12,Assam,672130,Dealer_3,Zeera cola,can,300ml,20,5891,0.9
48,48,31/01/12,Assam,672130,Dealer_3,Mango,Tetra pak,200ml,10,12339,1.13
49,49,31/01/12,Assam,672130,Dealer_3,Club soda,plastic,600ml,20,9720,2.46
51,51,31/01/12,Assam,672130,Dealer_3,Litchi,plastic,250ml,15,17298,0.83
52,52,31/01/12,Assam,672130,Dealer_3,Apple,plastic,250ml,20,10483,1.83
53,53,31/01/12,Assam,672130,Dealer_3,Litchi,can,200ml,10,16545,0.53
54,54,31/01/12,Assam,672130,Dealer_3,Mango,plastic,600ml,35,35931,0.38
55,55,31/01/12,Assam,672130,Dealer_3,Mango,plastic,1.2lt,65,14480,1.16
56,56,31/01/12,Assam,672130,Dealer_3,Lemon,plastic,250ml,10,21997,0.33
57,57,31/01/12,Meghalaya,137540,Dealer_5,Apple,plastic,600ml,35,7495,1.38
58,58,31/01/12,Meghalaya,137540,Dealer_5,Mango,Tetra pak,200ml,10,14887,1.06
59,59,31/01/12,Meghalaya,137540,Dealer_5,Club soda,plastic,600ml,20,9126,2.83
62,62,31/01/12,Meghalaya,137540,Dealer_5,Apple,plastic,250ml,20,16161,1.57
64,64,31/01/12,Meghalaya,137540,Dealer_5,Mango,plastic,600ml,35,27498,0.59
65,65,31/01/12,Meghalaya,137540,Dealer_5,Mango,plastic,1.2lt,65,26495,0.84
66,66,31/01/12,Meghalaya,137540,Dealer_5,Mango,plastic,250ml,15,41445,0.27
71,71,31/01/12,Meghalaya,137540,Dealer_5,Zeera cola,can,300ml,20,19572,0.46
73,73,31/01/12,Assam,672130,Dealer_3,Apple,plastic,600ml,35,5089,1.57
74,74,31/01/12,Manipur,346502,Dealer_4,Mango,Tetra pak,200ml,10,20401,1.05
75,75,31/01/12,Assam,672130,Dealer_1,Mango,plastic,250ml,15,16367,0.4
76,76,31/01/12,Arunanchal,134219,Dealer_2,Apple,plastic,250ml,20,25347,1.27
77,77,31/01/12,Arunanchal,134219,Dealer_2,Club soda,plastic,600ml,20,16638.6,2.61
78,78,31/01/12,Nagaland,164250,Dealer_6,Lemon,plastic,600ml,20,26717,0.86
79,79,31/01/12,Manipur,346502,Dealer_4,Mango,plastic,1.2lt,65,42833,0.71
80,80,31/01/12,Manipur,346502,Dealer_4,Apple,plastic,600ml,35,11406,1.39
82,82,31/01/12,Manipur,346502,Dealer_4,Mango,plastic,600ml,35,39056,0.56
83,83,31/01/12,Assam,672130,Dealer_1,Club soda,plastic,600ml,20,12229,2.55
84,84,31/01/12,Manipur,346502,Dealer_4,Lemon,plastic,250ml,10,13970,0.68
85,85,31/01/12,Meghalaya,137540,Dealer_5,Zeera cola,plastic,200ml,12,5330,3.03
86,86,31/01/12,Assam,672130,Dealer_1,Mango,plastic,1.2lt,65,26884,0.85
87,87,31/01/12,Assam,672130,Dealer_1,Apple,plastic,250ml,20,15702,1.47
88,88,31/01/12,Assam,672130,Dealer_3,Lemon,plastic,600ml,20,14309,0.87
90,90,29/02/12,Assam,672130,Dealer_1,Apple,plastic,600ml,35,10799,0.96
91,91,29/02/12,Assam,672130,Dealer_1,Zeera cola,plastic,200ml,12,7114,2.9
92,92,29/02/12,Assam,672130,Dealer_1,Zeera cola,can,300ml,20,8616,0.82
94,94,29/02/12,Assam,672130,Dealer_1,Litchi,plastic,250ml,15,16695,0.87
96,96,29/02/12,Assam,672130,Dealer_1,Mango,plastic,600ml,35,11362,0.73
97,97,29/02/12,Assam,672130,Dealer_1,Mango,plastic,1.2lt,65,7946,1.35
98,98,29/02/12,Assam,672130,Dealer_1,Mango,plastic,250ml,15,41963,0.23
99,99,29/02/12,Assam,672130,Dealer_1,Lemon,plastic,600ml,20,17446,0.7
101,101,29/02/12,Assam,672130,Dealer_1,Lemon,plastic,250ml,10,16815,0.56
103,103,29/02/12,Arunanchal,134219,Dealer_2,Zeera cola,plastic,200ml,12,9527,2.34
104,104,29/02/12,Arunanchal,134219,Dealer_2,Zeera cola,can,300ml,20,7156,0.89
105,105,29/02/12,Arunanchal,134219,Dealer_2,Mango,Tetra pak,200ml,10,15140,1.02
106,106,29/02/12,Arunanchal,134219,Dealer_2,Club soda,plastic,600ml,20,13591.6,1.61
107,107,29/02/12,Arunanchal,134219,Dealer_2,Litchi,plastic,250ml,15,24366,0.51
109,109,29/02/12,Arunanchal,134219,Dealer_2,Litchi,can,200ml,10,33120,0.44
110,110,29/02/12,Arunanchal,134219,Dealer_2,Mango,plastic,600ml,35,27468,0.59
111,111,29/02/12,Arunanchal,134219,Dealer_2,Lemon,plastic,600ml,20,18764,0.71
113,113,29/02/12,Arunanchal,134219,Dealer_2,Lemon,plastic,250ml,10,11939,0.67
114,114,29/02/12,Nagaland,164250,Dealer_6,Apple,plastic,600ml,35,14558,1.3
115,115,29/02/12,Nagaland,164250,Dealer_6,Zeera cola,can,300ml,20,13663,0.74
116,116,29/02/12,Nagaland,164250,Dealer_6,Club soda,plastic,600ml,20,6510,3.63
118,118,29/02/12,Nagaland,164250,Dealer_6,Litchi,plastic,250ml,15,33467,0.8
119,119,29/02/12,Nagaland,164250,Dealer_6,Apple,plastic,250ml,20,31679,1.23
120,120,29/02/12,Nagaland,164250,Dealer_6,Litchi,can,200ml,10,65860,0.18
122,122,29/02/12,Nagaland,164250,Dealer_6,Mango,plastic,250ml,15,60087,0.28
123,123,29/02/12,Nagaland,164250,Dealer_6,Lemon,plastic,600ml,20,24260,0.84
125,125,29/02/12,Nagaland,164250,Dealer_6,Lemon,plastic,250ml,10,25713,0.46
126,126,29/02/12,Manipur,346502,Dealer_4,Apple,plastic,600ml,35,8015,1.44
127,127,29/02/12,Manipur,346502,Dealer_4,Zeera cola,plastic,200ml,12,9418,2.51
128,128,29/02/12,Manipur,346502,Dealer_4,Zeera cola,can,300ml,20,15152,0.59
129,129,29/02/12,Manipur,346502,Dealer_4,Mango,Tetra pak,200ml,10,11993,1.19
130,130,29/02/12,Manipur,346502,Dealer_4,Club soda,plastic,600ml,20,9196,3.15
132,132,29/02/12,Manipur,346502,Dealer_4,Litchi,plastic,250ml,15,20486,0.91
134,134,29/02/12,Manipur,346502,Dealer_4,Mango,plastic,600ml,35,26542,0.61
135,135,29/02/12,Manipur,346502,Dealer_4,Mango,plastic,250ml,15,41854,0.28
136,136,29/02/12,Manipur,346502,Dealer_4,Lemon,plastic,600ml,20,18081,0.94
138,138,29/02/12,Manipur,346502,Dealer_4,Lemon,plastic,250ml,10,14972,0.63
139,139,29/02/12,Assam,672130,Dealer_3,Apple,plastic,600ml,35,8191,1.13
140,140,29/02/12,Assam,672130,Dealer_3,Zeera cola,plastic,200ml,12,4359,2.89
142,142,29/02/12,Assam,672130,Dealer_3,Apple,plastic,250ml,20,6134,2.3
143,143,29/02/12,Assam,672130,Dealer_3,Mango,plastic,1.2lt,65,14749,0.98
144,144,29/02/12,Assam,672130,Dealer_3,Mango,plastic,250ml,15,31283,0.23
148,148,29/02/12,Meghalaya,137540,Dealer_5,Zeera cola,plastic,200ml,12,8347,2.39
149,149,29/02/12,Meghalaya,137540,Dealer_5,Mango,Tetra pak,200ml,10,8701,1.33
150,150,29/02/12,Meghalaya,137540,Dealer_5,Club soda,plastic,600ml,20,9505,2.67
152,152,29/02/12,Meghalaya,137540,Dealer_5,Litchi,plastic,250ml,15,11940,0.92
154,154,29/02/12,Meghalaya,137540,Dealer_5,Litchi,can,200ml,10,21358,0.44
155,155,29/02/12,Meghalaya,137540,Dealer_5,Mango,plastic,600ml,35,24485,0.52
156,156,29/02/12,Meghalaya,137540,Dealer_5,Mango,plastic,1.2lt,65,13945,1
157,157,29/02/12,Meghalaya,137540,Dealer_5,Mango,plastic,250ml,15,18011,0.38
158,158,29/02/12,Meghalaya,137540,Dealer_5,Lemon,plastic,600ml,20,14859,0.65
160,160,29/02/12,Nagaland,164250,Dealer_6,Zeera cola,plastic,200ml,12,9343,3.17
161,161,29/02/12,Assam,672130,Dealer_1,Club soda,plastic,600ml,20,8954,2.67
162,162,29/02/12,Meghalaya,137540,Dealer_5,Apple,plastic,600ml,35,6972,1.46
163,163,29/02/12,Meghalaya,137540,Dealer_5,Lemon,plastic,250ml,10,11835,0.54
164,164,29/02/12,Assam,672130,Dealer_3,Mango,plastic,600ml,35,24822,0.48
166,166,29/02/12,Arunanchal,134219,Dealer_2,Mango,plastic,250ml,15,47555,0.22
167,167,29/02/12,Nagaland,164250,Dealer_6,Mango,plastic,1.2lt,65,39745,0.55
168,168,29/02/12,Assam,672130,Dealer_1,Litchi,can,200ml,10,30933,0.36
171,171,29/02/12,Meghalaya,137540,Dealer_5,Zeera cola,can,300ml,20,6111,0.84
172,172,29/02/12,Assam,672130,Dealer_3,Mango,Tetra pak,200ml,10,6763,1.29
174,174,29/02/12,Assam,672130,Dealer_3,Club soda,plastic,600ml,20,6687,3.23
176,176,29/02/12,Assam,672130,Dealer_3,Litchi,can,200ml,10,22035,0.37
178,178,29/02/12,Arunanchal,134219,Dealer_2,Mango,plastic,1.2lt,65,21164,1.12
179,179,29/02/12,Nagaland,164250,Dealer_6,Mango,Tetra pak,200ml,10,14052,1.29
180,180,31/03/12,Assam,672130,Dealer_1,Apple,plastic,600ml,35,12248,1.33
181,181,31/03/12,Assam,672130,Dealer_1,Zeera cola,plastic,200ml,12,10955,2.87
182,182,31/03/12,Assam,672130,Dealer_1,Zeera cola,can,300ml,20,9656,0.89
183,183,31/03/12,Assam,672130,Dealer_1,Club soda,plastic,600ml,20,14881,2.65
184,184,31/03/12,Assam,672130,Dealer_1,Apple,plastic,250ml,20,25940,1.58
185,185,31/03/12,Assam,672130,Dealer_1,Litchi,can,200ml,10,59678,0.26
186,186,31/03/12,Assam,672130,Dealer_1,Mango,plastic,600ml,35,30816,0.65
188,188,31/03/12,Assam,672130,Dealer_1,Lemon,plastic,250ml,10,18032,0.59
190,190,31/03/12,Arunanchal,134219,Dealer_2,Zeera cola,plastic,200ml,12,11422,2.72
191,191,31/03/12,Arunanchal,134219,Dealer_2,Zeera cola,can,300ml,20,20461,0.65
192,192,31/03/12,Arunanchal,134219,Dealer_2,Mango,Tetra pak,200ml,10,14333,1.32
193,193,31/03/12,Arunanchal,134219,Dealer_2,Club soda,plastic,600ml,20,16520.9,2.73
194,194,31/03/12,Arunanchal,134219,Dealer_2,Litchi,plastic,250ml,15,37443,0.79
196,196,31/03/12,Arunanchal,134219,Dealer_2,Litchi,can,200ml,10,37527,0.5
197,197,31/03/12,Arunanchal,134219,Dealer_2,Mango,plastic,600ml,35,45858,0.59
198,198,31/03/12,Arunanchal,134219,Dealer_2,Mango,plastic,1.2lt,65,30527,0.97
199,199,31/03/12,Arunanchal,134219,Dealer_2,Mango,plastic,250ml,15,65904,0.27
200,200,31/03/12,Arunanchal,134219,Dealer_2,Lemon,plastic,600ml,20,24792,0.8
203,203,31/03/12,Nagaland,164250,Dealer_6,Apple,plastic,600ml,35,13455,1.52
204,204,31/03/12,Nagaland,164250,Dealer_6,Zeera cola,plastic,200ml,12,15703,2.54
205,205,31/03/12,Nagaland,164250,Dealer_6,Zeera cola,can,300ml,20,15900,0.9
206,206,31/03/12,Nagaland,164250,Dealer_6,Mango,Tetra pak,200ml,10,20640,1.41
209,209,31/03/12,Nagaland,164250,Dealer_6,Litchi,plastic,250ml,15,44807,0.73
210,210,31/03/12,Nagaland,164250,Dealer_6,Apple,plastic,250ml,20,30099,1.84
213,213,31/03/12,Nagaland,164250,Dealer_6,Mango,plastic,250ml,15,83074,0.27
215,215,31/03/12,Nagaland,164250,Dealer_6,Lemon,plastic,250ml,10,21266,0.67
216,216,31/03/12,Manipur,346502,Dealer_4,Apple,plastic,600ml,35,9557,1.6
217,217,31/03/12,Manipur,346502,Dealer_4,Zeera cola,plastic,200ml,12,8949,3.46
219,219,31/03/12,Manipur,346502,Dealer_4,Mango,Tetra pak,200ml,10,29188,1.06
221,221,31/03/12,Manipur,346502,Dealer_4,Litchi,plastic,250ml,15,54080,0.7
222,222,31/03/12,Manipur,346502,Dealer_4,Litchi,can,200ml,10,61832,0.3
223,223,31/03/12,Manipur,346502,Dealer_4,Mango,plastic,600ml,35,59663,0.53
225,225,31/03/12,Manipur,346502,Dealer_4,Mango,plastic,250ml,15,61129,0.29
227,227,31/03/12,Manipur,346502,Dealer_4,Lemon,plastic,250ml,10,24110,0.51
228,228,31/03/12,Assam,672130,Dealer_3,Apple,plastic,600ml,35,10319,1.24
229,229,31/03/12,Assam,672130,Dealer_3,Zeera cola,plastic,200ml,12,5045,3.67
230,230,31/03/12,Assam,672130,Dealer_3,Zeera cola,can,300ml,20,10386,0.8
232,232,31/03/12,Assam,672130,Dealer_3,Litchi,plastic,250ml,15,33568,0.57
233,233,31/03/12,Assam,672130,Dealer_3,Apple,plastic,250ml,20,21788,1.3
234,234,31/03/12,Assam,672130,Dealer_3,Mango,plastic,600ml,35,27346,0.61
235,235,31/03/12,Assam,672130,Dealer_3,Mango,plastic,1.2lt,65,33115,0.45
236,236,31/03/12,Assam,672130,Dealer_3,Mango,plastic,250ml,15,38321,0.29
239,239,31/03/12,Meghalaya,137540,Dealer_5,Apple,plastic,600ml,35,8959,1.37
240,240,31/03/12,Meghalaya,137540,Dealer_5,Zeera cola,can,300ml,20,13943,0.8
241,241,31/03/12,Meghalaya,137540,Dealer_5,Mango,Tetra pak,200ml,10,16023,1.12
243,243,31/03/12,Meghalaya,137540,Dealer_5,Litchi,plastic,250ml,15,23900,0.89
244,244,31/03/12,Meghalaya,137540,Dealer_5,Apple,plastic,250ml,20,17776,1.43
245,245,31/03/12,Meghalaya,137540,Dealer_5,Litchi,can,200ml,10,25242,0.51
246,246,31/03/12,Meghalaya,137540,Dealer_5,Mango,plastic,600ml,35,55401,0.4
247,247,31/03/12,Meghalaya,137540,Dealer_5,Mango,plastic,1.2lt,65,34972,0.54
248,248,31/03/12,Meghalaya,137540,Dealer_5,Mango,plastic,250ml,15,38927,0.31
249,249,31/03/12,Meghalaya,137540,Dealer_5,Lemon,plastic,600ml,20,7708,1.17
252,252,31/03/12,Nagaland,164250,Dealer_6,Mango,plastic,1.2lt,65,37979,1.03
253,253,31/03/12,Manipur,346502,Dealer_4,Apple,plastic,250ml,20,15560,2.2
254,254,31/03/12,Assam,672130,Dealer_1,Mango,Tetra pak,200ml,10,24821,0.95
256,256,31/03/12,Manipur,346502,Dealer_4,Club soda,plastic,600ml,20,21970,2.55
257,257,31/03/12,Assam,672130,Dealer_1,Mango,plastic,1.2lt,65,31097,0.93
258,258,31/03/12,Manipur,346502,Dealer_4,Lemon,plastic,600ml,20,12744,1.22
259,259,31/03/12,Assam,672130,Dealer_1,Litchi,plastic,250ml,15,42741,0.61
262,262,31/03/12,Assam,672130,Dealer_3,Litchi,can,200ml,10,38019,0.28
263,263,31/03/12,Assam,672130,Dealer_3,Lemon,plastic,600ml,20,20219,0.72
264,264,31/03/12,Assam,672130,Dealer_1,Lemon,plastic,600ml,20,22825,0.73
265,265,31/03/12,Nagaland,164250,Dealer_6,Lemon,plastic,600ml,20,28679,0.91
266,266,31/03/12,Meghalaya,137540,Dealer_5,Club soda,plastic,600ml,20,15872,1.95
267,267,31/03/12,Assam,672130,Dealer_1,Mango,plastic,250ml,15,67246,0.2
268,268,31/03/12,Meghalaya,137540,Dealer_5,Zeera cola,plastic,200ml,12,6391,3.67
269,269,31/03/12,Assam,672130,Dealer_3,Mango,Tetra pak,200ml,10,16239,1.06
270,270,30/04/12,Assam,672130,Dealer_1,Apple,plastic,600ml,35,12234,1.31
271,271,30/04/12,Assam,672130,Dealer_1,Zeera cola,plastic,200ml,12,9002,3.53
272,272,30/04/12,Assam,672130,Dealer_1,Mango,Tetra pak,200ml,10,19742,1.2
273,273,30/04/12,Assam,672130,Dealer_1,Club soda,plastic,600ml,20,18652,2.24
275,275,30/04/12,Assam,672130,Dealer_1,Litchi,plastic,250ml,15,48207,0.66
276,276,30/04/12,Assam,672130,Dealer_1,Apple,plastic,250ml,20,19557,1.87
277,277,30/04/12,Assam,672130,Dealer_1,Litchi,can,200ml,10,47608,0.42
278,278,30/04/12,Assam,672130,Dealer_1,Mango,plastic,600ml,35,52986,0.5
279,279,30/04/12,Assam,672130,Dealer_1,Mango,plastic,1.2lt,65,27350,1.13
281,281,30/04/12,Assam,672130,Dealer_1,Lemon,plastic,600ml,20,19119,0.93
283,283,30/04/12,Assam,672130,Dealer_1,Lemon,plastic,250ml,10,51198,0.22
285,285,30/04/12,Arunanchal,134219,Dealer_2,Zeera cola,plastic,200ml,12,11857,3.3
286,286,30/04/12,Arunanchal,134219,Dealer_2,Zeera cola,can,300ml,20,22812,0.66
287,287,30/04/12,Arunanchal,134219,Dealer_2,Club soda,plastic,600ml,20,17482.3,2.77
289,289,30/04/12,Arunanchal,134219,Dealer_2,Litchi,plastic,250ml,15,47998,0.71
290,290,30/04/12,Arunanchal,134219,Dealer_2,Apple,plastic,250ml,20,20046,1.97
292,292,30/04/12,Arunanchal,134219,Dealer_2,Mango,plastic,1.2lt,65,37551,0.93
293,293,30/04/12,Arunanchal,134219,Dealer_2,Mango,plastic,250ml,15,53114,0.34
294,294,30/04/12,Arunanchal,134219,Dealer_2,Lemon,plastic,600ml,20,30300,0.85
296,296,30/04/12,Arunanchal,134219,Dealer_2,Lemon,plastic,250ml,10,20697,0.6
297,297,30/04/12,Nagaland,164250,Dealer_6,Apple,plastic,600ml,35,32238,0.93
299,299,30/04/12,Nagaland,164250,Dealer_6,Mango,Tetra pak,200ml,10,26348,1.28
300,300,30/04/12,Nagaland,164250,Dealer_6,Club soda,plastic,600ml,20,27447,2.54
302,302,30/04/12,Nagaland,164250,Dealer_6,Litchi,can,200ml,10,68297,0.43
303,303,30/04/12,Nagaland,164250,Dealer_6,Mango,plastic,600ml,35,71100,0.6
305,305,30/04/12,Nagaland,164250,Dealer_6,Mango,plastic,250ml,15,80606,0.28
306,306,30/04/12,Nagaland,164250,Dealer_6,Lemon,plastic,600ml,20,34931,0.89
308,308,30/04/12,Nagaland,164250,Dealer_6,Lemon,plastic,250ml,10,38584,0.52
309,309,30/04/12,Manipur,346502,Dealer_4,Apple,plastic,600ml,35,14495,1.33
310,310,30/04/12,Manipur,346502,Dealer_4,Zeera cola,plastic,200ml,12,21118,1.92
312,312,30/04/12,Manipur,346502,Dealer_4,Mango,Tetra pak,200ml,10,33708,1.13
313,313,30/04/12,Manipur,346502,Dealer_4,Club soda,plastic,600ml,20,21831,2.63
315,315,30/04/12,Manipur,346502,Dealer_4,Apple,plastic,250ml,20,36656,1.35
316,316,30/04/12,Manipur,346502,Dealer_4,Litchi,can,200ml,10,50809,0.44
317,317,30/04/12,Manipur,346502,Dealer_4,Mango,plastic,600ml,35,66331,0.56
319,319,30/04/12,Manipur,346502,Dealer_4,Mango,plastic,250ml,15,62442,0.31
320,320,30/04/12,Manipur,346502,Dealer_4,Lemon,plastic,600ml,20,34872,0.69
322,322,30/04/12,Manipur,346502,Dealer_4,Lemon,plastic,250ml,10,29981,0.61
323,323,30/04/12,Assam,672130,Dealer_3,Apple,plastic,600ml,35,10271,1.3
325,325,30/04/12,Assam,672130,Dealer_3,Mango,Tetra pak,200ml,10,16912,1.08
327,327,30/04/12,Assam,672130,Dealer_3,Litchi,plastic,250ml,15,22207,0.89
328,328,30/04/12,Assam,672130,Dealer_3,Apple,plastic,250ml,20,33684,0.63
329,329,30/04/12,Assam,672130,Dealer_3,Litchi,can,200ml,10,43364,0.33
331,331,30/04/12,Assam,672130,Dealer_3,Mango,plastic,250ml,15,33934,0.34
332,332,30/04/12,Assam,672130,Dealer_3,Lemon,plastic,250ml,10,18375,0.49
333,333,30/04/12,Meghalaya,137540,Dealer_5,Zeera cola,plastic,200ml,12,13234,2.35
334,334,30/04/12,Meghalaya,137540,Dealer_5,Zeera cola,can,300ml,20,17428,0.76
335,335,30/04/12,Meghalaya,137540,Dealer_5,Mango,Tetra pak,200ml,10,27578,0.87
336,336,30/04/12,Meghalaya,137540,Dealer_5,Club soda,plastic,600ml,20,11228,3.16
338,338,30/04/12,Meghalaya,137540,Dealer_5,Litchi,plastic,250ml,15,43559,0.57
339,339,30/04/12,Meghalaya,137540,Dealer_5,Apple,plastic,250ml,20,14881,2.15
340,340,30/04/12,Meghalaya,137540,Dealer_5,Litchi,can,200ml,10,36220,0.44
341,341,30/04/12,Meghalaya,137540,Dealer_5,Mango,plastic,600ml,35,33570,0.56
343,343,30/04/12,Meghalaya,137540,Dealer_5,Mango,plastic,250ml,15,42849,0.32
345,345,30/04/12,Meghalaya,137540,Dealer_5,Lemon,plastic,250ml,10,14762,0.67
346,346,30/04/12,Nagaland,164250,Dealer_6,Litchi,plastic,250ml,15,73839,0.59
347,347,30/04/12,Arunanchal,134219,Dealer_2,Litchi,can,200ml,10,47135,0.47
348,348,30/04/12,Assam,672130,Dealer_3,Mango,plastic,600ml,35,34124,0.57
349,349,30/04/12,Nagaland,164250,Dealer_6,Apple,plastic,250ml,20,41523,1.61
351,351,30/04/12,Assam,672130,Dealer_3,Club soda,plastic,600ml,20,10210,2.96
352,352,30/04/12,Meghalaya,137540,Dealer_5,Apple,plastic,600ml,35,12721,1.21
353,353,30/04/12,Nagaland,164250,Dealer_6,Zeera cola,can,300ml,20,29499,0.7
354,354,30/04/12,Meghalaya,137540,Dealer_5,Lemon,plastic,600ml,20,16739,0.98
355,355,30/04/12,Assam,672130,Dealer_3,Lemon,plastic,600ml,20,23851,0.77
356,356,30/04/12,Assam,672130,Dealer_1,Zeera cola,can,300ml,20,9881,0.95
357,357,30/04/12,Manipur,346502,Dealer_4,Litchi,plastic,250ml,15,58620,0.65
358,358,30/04/12,Assam,672130,Dealer_3,Zeera cola,can,300ml,20,13451,0.9
359,359,30/04/12,Arunanchal,134219,Dealer_2,Mango,Tetra pak,200ml,10,27765,1.1
360,360,31/05/12,Assam,672130,Dealer_1,Apple,plastic,600ml,35,22444,0.93
361,361,31/05/12,Assam,672130,Dealer_1,Zeera cola,plastic,200ml,12,14585,2.75
362,362,31/05/12,Assam,672130,Dealer_1,Zeera cola,can,300ml,20,21197,0.72
363,363,31/05/12,Assam,672130,Dealer_1,Mango,Tetra pak,200ml,10,35489,0.88
365,365,31/05/12,Assam,672130,Dealer_1,Litchi,plastic,250ml,15,33615,0.92
366,366,31/05/12,Assam,672130,Dealer_1,Apple,plastic,250ml,20,18752,2.07
367,367,31/05/12,Assam,672130,Dealer_1,Litchi,can,200ml,10,47160,0.42
368,368,31/05/12,Assam,672130,Dealer_1,Mango,plastic,600ml,35,34211,0.67
369,369,31/05/12,Assam,672130,Dealer_1,Mango,plastic,250ml,15,64702,0.27
370,370,31/05/12,Assam,672130,Dealer_1,Lemon,plastic,600ml,20,27931,0.65
372,372,31/05/12,Assam,672130,Dealer_1,Lemon,plastic,250ml,10,27252,0.61
373,373,31/05/12,Arunanchal,134219,Dealer_2,Zeera cola,can,300ml,20,25923,0.7
376,376,31/05/12,Arunanchal,134219,Dealer_2,Apple,plastic,250ml,20,49332,0.92
377,377,31/05/12,Arunanchal,134219,Dealer_2,Litchi,can,200ml,10,66515,0.4
378,378,31/05/12,Arunanchal,134219,Dealer_2,Mango,plastic,1.2lt,65,56600,0.78
379,379,31/05/12,Arunanchal,134219,Dealer_2,Mango,plastic,250ml,15,83250,0.24
380,380,31/05/12,Arunanchal,134219,Dealer_2,Lemon,plastic,600ml,20,23508,0.98
382,382,31/05/12,Nagaland,164250,Dealer_6,Apple,plastic,600ml,35,32905,1.14
383,383,31/05/12,Nagaland,164250,Dealer_6,Mango,Tetra pak,200ml,10,28775,1.33
384,384,31/05/12,Nagaland,164250,Dealer_6,Club soda,plastic,600ml,20,22397,3.06
386,386,31/05/12,Nagaland,164250,Dealer_6,Litchi,plastic,250ml,15,60877,0.81
387,387,31/05/12,Nagaland,164250,Dealer_6,Apple,plastic,250ml,20,71935,0.79
388,388,31/05/12,Nagaland,164250,Dealer_6,Litchi,can,200ml,10,45262,0.58
389,389,31/05/12,Nagaland,164250,Dealer_6,Mango,plastic,600ml,35,89074,0.51
390,390,31/05/12,Nagaland,164250,Dealer_6,Mango,plastic,1.2lt,65,73635,0.7
391,391,31/05/12,Nagaland,164250,Dealer_6,Mango,plastic,250ml,15,126691,0.24
392,392,31/05/12,Nagaland,164250,Dealer_6,Lemon,plastic,600ml,20,37742,0.91
394,394,31/05/12,Nagaland,164250,Dealer_6,Lemon,plastic,250ml,10,37875,0.61
